train_size,subset_path,val_precision,val_recall,val_f1,val_bal_acc
50000,data/train_subsets/train_subset_50000.csv,0.91063404892661,0.912,0.9113165126155384,0.91125
25000,data/train_subsets/train_subset_25000.csv,0.9009287925696594,0.873,0.8867445403758253,0.8885000000000001
12500,data/train_subsets/train_subset_12500.csv,0.8638132295719845,0.888,0.8757396449704142,0.874
6250,data/train_subsets/train_subset_6250.csv,0.8421052631578947,0.896,0.8682170542635659,0.864
3125,data/train_subsets/train_subset_3125.csv,0.859504132231405,0.832,0.8455284552845529,0.848
500,data/train_subsets/train_subset_500.csv,0.7857142857142857,0.55,0.6470588235294118,0.7
